text,label
IT Helpdesk: We are migrating email servers. Please validate your inbox at http://update-your-billing.net to avoid losing emails.,1
Are we still going to lunch? I was thinking we could go to Starbucks.,0
I will be out of office starting Friday and returning on Friday.,0
Thanks for your help with the bug fix! It works perfectly now.,0
"Dear Customer, your bank account access is restricted. Verify your information here: http://secure-login-verify.com",1
"Hi Chris, let's schedule a meeting for Thursday at 1 PM.",0
Hey! Just checking in to see how you're doing. Call me when you can.,0
You have won a $1000 gift card! Claim your prize now by visiting http://account-recovery-service.org,1
Your package could not be delivered. Please update your shipping address here: http://update-your-billing.net,1
Attached is the report for Q1. Let me know if you need any changes.,0
Are we still going to lunch? I was thinking we could go to the cafe.,0
"Hi team, just a quick update on the project status.",0
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://secure-login-verify.com,1
Can you send me the presentation slides from yesterday?,0
Action Required: Your password expires today. Change it now at http://secure-login-verify.com,1
Action Required: Your password expires today. Change it now at http://confirm-identity-now.com,1
I will be out of office starting Thursday and returning on Thursday.,0
Important update regarding your account security. Please login to confirm your details: http://confirm-identity-now.com,1
You have won a $1000 gift card! Claim your prize now by visiting http://update-your-billing.net,1
Your package could not be delivered. Please update your shipping address here: http://confirm-identity-now.com,1
Security Alert: We detected an unusual login to your Microsoft account. Please update your password immediately at http://bit.ly/123xyz,1
"Dear Customer, your bank account access is restricted. Verify your information here: http://secure-login-verify.com",1
Hey! Just checking in to see how you're doing. Call me when you can.,0
You have won a $1000 gift card! Claim your prize now by visiting http://secure-login-verify.com,1
"Hi Alex, let's schedule a meeting for Thursday at 4:30 PM.",0
Are we still going to lunch? I was thinking we could go to Chipotle.,0
URGENT: Your Netflix account will be suspended in 24 hours. Click here to verify your identity: http://update-your-billing.net,1
Important update regarding your account security. Please login to confirm your details: http://bit.ly/123xyz,1
Thanks for your help with the bug fix! It works perfectly now.,0
You have won a $1000 gift card! Claim your prize now by visiting http://bit.ly/123xyz,1
Your package could not be delivered. Please update your shipping address here: http://account-recovery-service.org,1
Security Alert: We detected an unusual login to your PayPal account. Please update your password immediately at http://confirm-identity-now.com,1
Are we still going to lunch? I was thinking we could go to that new sushi place.,0
URGENT: Your PayPal account will be suspended in 24 hours. Click here to verify your identity: http://update-your-billing.net,1
Your package could not be delivered. Please update your shipping address here: http://confirm-identity-now.com,1
Action Required: Your password expires today. Change it now at http://confirm-identity-now.com,1
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://secure-login-verify.com,1
Security Alert: We detected an unusual login to your Amazon account. Please update your password immediately at http://account-recovery-service.org,1
Reminder: Team building event next Thursday.,0
The project deadline has been extended to Monday. Keep up the good work!,0
"Hi Alex, let's schedule a meeting for Wednesday at 9:00 AM.",0
"Dear Customer, your bank account access is restricted. Verify your information here: http://bit.ly/123xyz",1
Reminder: Team building event next Thursday.,0
Hey! Just checking in to see how you're doing. Call me when you can.,0
Attached is the report for Q2. Let me know if you need any changes.,0
I will be out of office starting Friday and returning on Friday.,0
Security Alert: We detected an unusual login to your Netflix account. Please update your password immediately at http://secure-login-verify.com,1
"Dear Customer, your bank account access is restricted. Verify your information here: http://secure-login-verify.com",1
The project deadline has been extended to Tuesday. Keep up the good work!,0
We noticed suspicious activity on your credit card. Confirm your recent transactions at http://secure-login-verify.com,1
Security Alert: We detected an unusual login to your Apple account. Please update your password immediately at http://secure-login-verify.com,1
Thanks for your help with the bug fix! It works perfectly now.,0
Please review the attached pull request when you have a moment.,0
Your package could not be delivered. Please update your shipping address here: http://secure-login-verify.com,1
